venue,round,url,spotify_url,status
Island Vibes,Vibes Bingo,https://mellifluous-parfait-a01655.netlify.app/island-vibes/vibes-bingo,,legacy venue page
Island Vibes,Beach Bingo,https://mellifluous-parfait-a01655.netlify.app/island-vibes/beach-bingo,https://open.spotify.com/playlist/6IbPAMKpC2DgWQCWRje1zz,ready
Island Vibes,Emo Bingo,https://mellifluous-parfait-a01655.netlify.app/island-vibes/emo-bingo,,legacy venue page
Island Vibes,EDM Bingo,https://mellifluous-parfait-a01655.netlify.app/island-vibes/edm-bingo,,legacy venue page
Island Vibes,Turn That Down,https://mellifluous-parfait-a01655.netlify.app/island-vibes/turn-that-down,https://open.spotify.com/playlist/59QgNIB11Az9KkWnePsVcb?si=EZqKll6QQ2-TOz-fSp,ready
Island Vibes,70s Summer,https://mellifluous-parfait-a01655.netlify.app/island-vibes/70s-summer,https://open.spotify.com/playlist/12dSAw0SMJNk9JW6gXIU74,ready
Island Vibes,Then & Now,https://mellifluous-parfait-a01655.netlify.app/island-vibes/then-and-now,https://open.spotify.com/playlist/2n4fspcNhJNzCpx1TjwSxS,ready
Island Vibes,80s Night,https://mellifluous-parfait-a01655.netlify.app/island-vibes/80s-night,https://open.spotify.com/playlist/1mJ8zNrktEdd8Twx4O5WUl?si=a05c8be6e61640cf,ready
Island Vibes,The Download Years,https://mellifluous-parfait-a01655.netlify.app/island-vibes/the-download-years,,legacy venue page
Island Vibes,Yallternative,https://mellifluous-parfait-a01655.netlify.app/island-vibes/yallternative,https://open.spotify.com/playlist/7vIr13t7jzbf2FZWe2OMPM?si=bc47207052bc4a23,ready
Island Vibes,Northeaster,https://mellifluous-parfait-a01655.netlify.app/island-vibes/northeaster,https://open.spotify.com/playlist/2TuO52EXbhV9Uo3oseurYi?si=806973808f0c4880,ready
Mangrove Sands,Beach Bingo,https://mellifluous-parfait-a01655.netlify.app/mangrove-sands/beach-bingo,https://open.spotify.com/playlist/6IbPAMKpC2DgWQCWRje1zz,ready
Mangrove Sands,Turn That Down,https://mellifluous-parfait-a01655.netlify.app/mangrove-sands/turn-that-down,https://open.spotify.com/playlist/59QgNIB11Az9KkWnePsVcb?si=EZqKll6QQ2-TOz-fSp,ready
Mangrove Sands,70s Summer,https://mellifluous-parfait-a01655.netlify.app/mangrove-sands/70s-summer,https://open.spotify.com/playlist/12dSAw0SMJNk9JW6gXIU74,ready
Mangrove Sands,Then & Now,https://mellifluous-parfait-a01655.netlify.app/mangrove-sands/then-and-now,https://open.spotify.com/playlist/2n4fspcNhJNzCpx1TjwSxS,ready
Mangrove Sands,80s Night,https://mellifluous-parfait-a01655.netlify.app/mangrove-sands/80s-night,https://open.spotify.com/playlist/1mJ8zNrktEdd8Twx4O5WUl?si=a05c8be6e61640cf,ready
Mangrove Sands,Northeaster,https://mellifluous-parfait-a01655.netlify.app/mangrove-sands/northeaster,https://open.spotify.com/playlist/2TuO52EXbhV9Uo3oseurYi?si=806973808f0c4880,ready
Mangrove Sands,Outlaw Country,https://mellifluous-parfait-a01655.netlify.app/mangrove-sands/outlaw-country,https://open.spotify.com/playlist/4HIhLsm7t4lQHrlPZP7ySi?si=fb54a7099c2e4a92,ready
Mangrove Sands,Diner Music,https://mellifluous-parfait-a01655.netlify.app/mangrove-sands/diner-music,,legacy venue page
